contact_id,opportunity_id,account_id,first_name,last_name,email,phone,title,department,lead_source,campaign_no,created_date
CON00000024,OPP00000018,ACC000456,Thomas,Sanchez,thomas.sanchez71@corp.net,(667) 488-2238,Analyst,Executive,Partner Referral,36336.0,2021-10-28
CON00000025,OPP00000019,ACC000584,John,Hernandez,john.hernandez695@business.org,(948) 519-4722,Manager,Finance,Phone Inquiry,47899.0,2021-10-12
CON00000026,OPP00000020,ACC000330,Lisa,Gonzalez,lisa.gonzalez378@business.org,(447) 435-7015,CEO,Executive,Partner Referral,44068.0,2021-09-28
CON00000027,OPP00000021,ACC000899,Anthony,Ramirez,anthony.ramirez132@company.com,(827) 519-7332,Director,Marketing,Phone Inquiry,14480.0,2021-11-04
CON00000028,OPP00000021,ACC000899,Betty,Robinson,betty.robinson387@business.org,(841) 674-8789,Coordinator,Executive,Other,15169.0,2021-11-04
CON00000029,OPP00000022,ACC000535,James,Thomas,james.thomas936@business.org,(660) 436-7993,VP Sales,Operations,Purchased List,,2021-07-29
CON00000030,OPP00000023,ACC000538,Christopher,Martinez,christopher.martinez622@corp.net,(755) 966-2959,VP Sales,Sales,Phone Inquiry,,2021-07-31
CON00000031,OPP00000024,ACC000763,Christopher,Robinson,christopher.robinson39@gmail.com,(484) 207-8958,CEO,Operations,Other,34232.0,2021-07-28
CON00000032,OPP00000025,ACC000373,Christopher,Garcia,christopher.garcia86@corp.net,(773) 952-6646,VP Sales,Finance,Partner Referral,6755.0,2021-09-21
CON00000033,OPP00000026,ACC000818,Christopher,Martinez,christopher.martinez569@yahoo.com,(437) 761-9460,Analyst,IT,Purchased List,32121.0,2021-12-03
CON00000034,OPP00000026,ACC000818,Joshua,Lopez,joshua.lopez352@yahoo.com,(430) 638-9638,Specialist,IT,Partner Referral,38082.0,2021-12-03
CON00000035,OPP00000027,ACC000202,John,Hernandez,john.hernandez517@gmail.com,(308) 249-9940,VP Sales,Executive,Other,,2021-09-12
CON00000036,OPP00000028,ACC000384,John,Anderson,john.anderson900@yahoo.com,(474) 971-5847,Specialist,Operations,Phone Inquiry,49673.0,2021-10-02
CON00000037,OPP00000028,ACC000384,Donna,Anderson,donna.anderson774@hotmail.com,(905) 663-8189,CTO,Sales,Purchased List,1619.0,2021-10-02
CON00000038,OPP00000029,ACC000550,Charles,Gonzalez,charles.gonzalez648@hotmail.com,(471) 440-2554,CEO,Finance,Web,38614.0,2021-07-29
CON00000039,OPP00000030,ACC000852,Linda,Davis,linda.davis553@corp.net,(940) 610-4376,VP Sales,IT,Phone Inquiry,42495.0,2021-09-16
CON00000040,OPP00000030,ACC000852,Mary,Anderson,mary.anderson392@corp.net,(642) 648-7271,CFO,Marketing,Phone Inquiry,,2021-09-16
CON00000041,OPP00000031,ACC000342,Carol,Lee,carol.lee602@business.org,(391) 610-1200,Coordinator,Finance,Purchased List,42127.0,2021-11-29
CON00000042,OPP00000032,ACC000183,Lisa,Harris,lisa.harris523@yahoo.com,(991) 943-6583,Director,Executive,Purchased List,6400.0,2021-10-09
CON00000043,OPP00000033,ACC000462,Paul,Johnson,paul.johnson25@business.org,(865) 690-8642,Coordinator,Marketing,Partner Referral,45608.0,2021-09-07
CON00000044,OPP00000033,ACC000462,Joseph,Moore,joseph.moore395@business.org,(797) 624-1957,VP Sales,Operations,Web,,2021-09-07
CON00000045,OPP00000033,ACC000462,Mark,Ramirez,mark.ramirez171@yahoo.com,(677) 720-4340,CTO,IT,Other,43362.0,2021-09-07
CON00000046,OPP00000034,ACC000700,Mary,Moore,mary.moore399@company.com,(728) 942-3171,CFO,Executive,Phone Inquiry,18926.0,2021-09-20
CON00000047,OPP00000035,ACC000341,David,Lopez,david.lopez583@company.com,(415) 932-8570,Specialist,Marketing,Other,17763.0,2021-09-17
CON00000048,OPP00000036,ACC000873,Paul,Johnson,paul.johnson73@yahoo.com,(331) 918-3147,Specialist,Marketing,Web,42757.0,2021-11-15
CON00000049,OPP00000036,ACC000873,Sharon,White,sharon.white310@yahoo.com,(274) 566-3364,VP Sales,HR,Web,,2021-11-15
CON00000050,OPP00000036,ACC000873,Daniel,Lopez,daniel.lopez240@hotmail.com,(258) 942-5489,CEO,IT,Purchased List,4075.0,2021-11-15
CON00000051,OPP00000037,ACC000282,Elizabeth,Clark,elizabeth.clark489@gmail.com,(279) 717-2700,VP Sales,Sales,Purchased List,15869.0,2021-10-06
CON00000052,OPP00000038,ACC000819,Helen,Moore,helen.moore657@gmail.com,(954) 264-9137,VP Sales,Sales,Web,,2021-11-10
CON00000053,OPP00000039,ACC000303,Jennifer,Hernandez,jennifer.hernandez960@yahoo.com,(565) 373-5827,CTO,Executive,Purchased List,22776.0,2021-10-01
CON00000054,OPP00000040,ACC000077,Richard,Martin,richard.martin77@hotmail.com,(354) 563-6887,VP Sales,Finance,Partner Referral,,2021-09-16
CON00000055,OPP00000040,ACC000077,Linda,Thomas,linda.thomas580@gmail.com,(790) 653-2086,Director,IT,Phone Inquiry,,2021-09-16
CON00000056,OPP00000041,ACC000760,Linda,Anderson,linda.anderson243@gmail.com,(913) 971-2102,CEO,Executive,Purchased List,13445.0,2021-09-13
CON00000057,OPP00000042,ACC000654,Andrew,Lopez,andrew.lopez5@yahoo.com,(849) 297-3274,Analyst,HR,Other,17771.0,2021-10-24
CON00000058,OPP00000043,ACC000424,William,Lewis,william.lewis995@business.org,(237) 236-6039,VP Sales,HR,Purchased List,22508.0,2021-08-23
CON00000059,OPP00000044,ACC000081,Sarah,Sanchez,sarah.sanchez274@business.org,(381) 645-9688,Coordinator,Finance,Phone Inquiry,8596.0,2021-11-24
CON00000060,OPP00000044,ACC000081,Andrew,Williams,andrew.williams703@yahoo.com,(979) 875-1586,CFO,Finance,Purchased List,47463.0,2021-11-24
CON00000061,OPP00000045,ACC000713,Betty,Anderson,betty.anderson701@corp.net,(752) 564-6513,Coordinator,Executive,Phone Inquiry,35796.0,2021-08-17
CON00000062,OPP00000046,ACC000979,Nancy,Rodriguez,nancy.rodriguez845@yahoo.com,(204) 755-9223,Director,Finance,Partner Referral,31233.0,2021-09-07
CON00000063,OPP00000047,ACC000543,Patricia,Harris,patricia.harris281@hotmail.com,(572) 994-7838,Coordinator,Executive,Other,38799.0,2021-09-04
CON00000064,OPP00000047,ACC000543,Anthony,Martin,anthony.martin362@corp.net,(754) 730-6450,Specialist,HR,Other,,2021-09-04
CON00000065,OPP00000047,ACC000543,Elizabeth,Anderson,elizabeth.anderson293@corp.net,(573) 679-8233,CEO,Finance,Web,21404.0,2021-09-04
CON00000066,OPP00000048,ACC000977,Susan,Thompson,susan.thompson855@gmail.com,(995) 864-2980,VP Sales,Sales,Purchased List,33645.0,2021-11-11
CON00000067,OPP00000049,ACC000049,James,Martin,james.martin561@hotmail.com,(719) 221-8428,CTO,Operations,Other,,2021-09-10
CON00000068,OPP00000049,ACC000049,Sarah,Lee,sarah.lee701@yahoo.com,(929) 619-2628,CTO,Finance,Purchased List,,2021-09-10
CON00000069,OPP00000050,ACC000776,Donald,Smith,donald.smith312@gmail.com,(696) 742-4936,CTO,HR,Web,13321.0,2021-11-12
CON00000070,OPP00000050,ACC000776,John,Williams,john.williams265@gmail.com,(346) 824-3169,CEO,HR,Purchased List,11230.0,2021-11-12
CON00000071,OPP00000051,ACC000131,Charles,Gonzalez,charles.gonzalez269@corp.net,(320) 546-6851,Manager,Executive,Partner Referral,,2021-12-02
CON00000072,OPP00000051,ACC000131,Richard,Martin,richard.martin49@business.org,(400) 504-2001,Coordinator,IT,Other,25271.0,2021-12-02
CON00000073,OPP00000052,ACC000185,Daniel,Anderson,daniel.anderson380@corp.net,(349) 631-2517,Director,Operations,Web,9149.0,2021-11-06
CON00000074,OPP00000053,ACC000771,Lisa,Smith,lisa.smith351@corp.net,(507) 334-7111,VP Marketing,HR,Purchased List,2131.0,2021-12-28
CON00000075,OPP00000054,ACC000569,Steven,Johnson,steven.johnson741@gmail.com,(896) 456-9663,CTO,HR,Partner Referral,,2021-10-18
CON00000076,OPP00000054,ACC000569,Jessica,Lopez,jessica.lopez839@gmail.com,(283) 602-4412,Coordinator,HR,Other,36081.0,2021-10-18
CON00000077,OPP00000055,ACC000586,Donna,Rodriguez,donna.rodriguez958@business.org,(610) 281-7402,Specialist,Sales,Phone Inquiry,,2021-08-13
CON00000078,OPP00000055,ACC000586,Barbara,Thompson,barbara.thompson936@business.org,(699) 899-1242,Specialist,Marketing,Partner Referral,11011.0,2021-08-13
CON00000079,OPP00000056,ACC000022,Charles,Lee,charles.lee509@corp.net,(383) 427-9892,Manager,Finance,Phone Inquiry,24782.0,2021-09-07
CON00000080,OPP00000056,ACC000022,David,Thompson,david.thompson758@gmail.com,(287) 293-5569,CFO,Sales,Phone Inquiry,,2021-09-07
CON00000081,OPP00000057,ACC000023,Sarah,Jones,sarah.jones136@business.org,(668) 297-2339,Coordinator,IT,Web,,2021-09-02
CON00000082,OPP00000058,ACC000125,Paul,Johnson,paul.johnson603@business.org,(438) 201-3875,Analyst,Sales,Other,14400.0,2021-12-27
CON00000083,OPP00000059,ACC000239,Barbara,Thomas,barbara.thomas937@company.com,(794) 695-1524,VP Marketing,Operations,Web,11839.0,2021-09-20
CON00000084,OPP00000059,ACC000239,William,Smith,william.smith132@hotmail.com,(582) 347-8126,Director,HR,Partner Referral,48989.0,2021-09-20
CON00000085,OPP00000060,ACC000998,Mark,Lewis,mark.lewis557@corp.net,(447) 502-6392,CTO,Marketing,Web,16952.0,2021-07-26
CON00000086,OPP00000060,ACC000998,Helen,Johnson,helen.johnson884@business.org,(309) 831-7152,Director,Sales,Partner Referral,14102.0,2021-07-26
CON00000087,OPP00000060,ACC000998,Ruth,Garcia,ruth.garcia174@company.com,(328) 966-4133,CTO,Operations,Web,18917.0,2021-07-26
CON00000088,OPP00000061,ACC000613,Richard,Wilson,richard.wilson960@gmail.com,(854) 482-4668,CFO,Sales,Purchased List,20023.0,2021-12-21
CON00000089,OPP00000061,ACC000613,Joseph,Brown,joseph.brown234@company.com,(266) 391-7720,CEO,Operations,Purchased List,24817.0,2021-12-21
CON00000090,OPP00000062,ACC000758,Charles,Jones,charles.jones825@company.com,(986) 857-7432,CEO,Marketing,Web,35208.0,2021-09-15
CON00000091,OPP00000062,ACC000758,Ruth,Lee,ruth.lee987@gmail.com,(342) 317-9312,Manager,Marketing,Purchased List,16303.0,2021-09-15
CON00000092,OPP00000063,ACC000386,Elizabeth,Miller,elizabeth.miller243@gmail.com,(747) 405-8993,Analyst,Finance,Web,,2021-12-03
CON00000093,OPP00000063,ACC000386,Lisa,Brown,lisa.brown101@gmail.com,(205) 543-9004,CFO,Operations,Purchased List,46248.0,2021-12-03
CON00000094,OPP00000063,ACC000386,Andrew,Wilson,andrew.wilson652@hotmail.com,(902) 352-2051,Specialist,Operations,Partner Referral,17084.0,2021-12-03
CON00000095,OPP00000064,ACC000549,Sharon,Davis,sharon.davis91@company.com,(663) 464-6272,CFO,Finance,Other,6574.0,2021-11-13
CON00000096,OPP00000064,ACC000549,Mark,Davis,mark.davis962@company.com,(980) 720-2795,Analyst,Marketing,Other,16797.0,2021-11-13
CON00000097,OPP00000065,ACC000138,Sharon,Miller,sharon.miller66@corp.net,(649) 650-3678,Coordinator,Sales,Web,5300.0,2021-09-27
CON00000098,OPP00000066,ACC000686,Sharon,Harris,sharon.harris299@hotmail.com,(293) 981-8180,VP Marketing,Finance,Partner Referral,29095.0,2021-08-07
CON00000099,OPP00000066,ACC000686,Lisa,Wilson,lisa.wilson298@gmail.com,(249) 895-8320,Specialist,HR,Other,23969.0,2021-08-07
CON00000100,OPP00000067,ACC000463,Helen,Garcia,helen.garcia583@business.org,(278) 343-3629,Coordinator,Marketing,Phone Inquiry,26940.0,2021-08-21
CON00000101,OPP00000068,ACC000640,Ruth,Clark,ruth.clark919@yahoo.com,(278) 945-3357,Specialist,IT,Web,31218.0,2021-08-23
CON00000102,OPP00000069,ACC000938,John,Smith,john.smith825@hotmail.com,(330) 699-5935,CTO,Operations,Partner Referral,,2021-11-01
CON00000103,OPP00000070,ACC000712,Paul,Davis,paul.davis244@business.org,(473) 776-1948,Analyst,IT,Other,,2021-10-25
CON00000104,OPP00000070,ACC000712,Jennifer,Brown,jennifer.brown747@hotmail.com,(886) 860-5768,Coordinator,Executive,Purchased List,11632.0,2021-10-25
CON00000105,OPP00000071,ACC000766,Karen,Brown,karen.brown840@hotmail.com,(344) 773-3445,Analyst,Marketing,Purchased List,40576.0,2021-10-31
CON00000106,OPP00000071,ACC000766,Sandra,Smith,sandra.smith353@business.org,(924) 665-1865,VP Marketing,Executive,Purchased List,20142.0,2021-10-31
CON00000107,OPP00000072,ACC000189,Sandra,White,sandra.white875@company.com,(334) 457-7244,Coordinator,HR,Purchased List,26459.0,2021-11-05
CON00000108,OPP00000072,ACC000189,Joshua,Jackson,joshua.jackson10@hotmail.com,(462) 927-2087,Analyst,Finance,Phone Inquiry,,2021-11-05
CON00000109,OPP00000073,ACC000929,Helen,Perez,helen.perez78@gmail.com,(421) 445-5899,CFO,Finance,Partner Referral,9628.0,2021-09-02
CON00000110,OPP00000074,ACC000111,Mark,Garcia,mark.garcia132@company.com,(373) 900-1708,Manager,Executive,Purchased List,,2021-11-25
CON00000111,OPP00000075,ACC000725,Donald,Smith,donald.smith2@gmail.com,(827) 990-8255,Director,HR,Phone Inquiry,35914.0,2021-11-28
CON00000112,OPP00000075,ACC000725,Carol,Perez,carol.perez498@business.org,(921) 291-4746,Specialist,Marketing,Purchased List,20131.0,2021-11-28
CON00000113,OPP00000076,ACC000192,William,Jones,william.jones463@corp.net,(311) 613-2452,CFO,HR,Other,,2021-08-20
CON00000114,OPP00000077,ACC000958,Matthew,Wilson,matthew.wilson131@business.org,(668) 878-6914,VP Marketing,Sales,Partner Referral,17546.0,2021-08-04
CON00000115,OPP00000078,ACC000333,Christopher,Garcia,christopher.garcia502@company.com,(578) 793-6403,CTO,Sales,Web,17977.0,2021-11-08
CON00000116,OPP00000079,ACC000477,Richard,Miller,richard.miller697@corp.net,(379) 984-5385,Director,Sales,Web,37735.0,2021-09-27
CON00000117,OPP00000079,ACC000477,Jessica,Smith,jessica.smith757@business.org,(649) 551-3494,Analyst,HR,Other,6136.0,2021-09-27
CON00000118,OPP00000079,ACC000477,Robert,Perez,robert.perez476@gmail.com,(573) 218-3568,Manager,IT,Partner Referral,,2021-09-27
CON00000119,OPP00000080,ACC000758,Barbara,Johnson,barbara.johnson112@hotmail.com,(957) 948-2075,CEO,Finance,Phone Inquiry,14166.0,2021-08-13
CON00000120,OPP00000081,ACC000128,Barbara,Ramirez,barbara.ramirez387@yahoo.com,(345) 258-5637,Director,Sales,Other,49102.0,2021-09-11
CON00000121,OPP00000081,ACC000128,David,Robinson,david.robinson502@yahoo.com,(710) 244-5609,VP Marketing,Finance,Partner Referral,48602.0,2021-09-11
CON00000122,OPP00000082,ACC000003,James,Moore,james.moore398@hotmail.com,(533) 702-8393,CFO,HR,Phone Inquiry,25107.0,2021-10-02
CON00000123,OPP00000082,ACC000003,Jessica,Brown,jessica.brown200@yahoo.com,(322) 521-9206,VP Marketing,IT,Other,12681.0,2021-10-02
CON00000124,OPP00000083,ACC000290,Betty,Anderson,betty.anderson708@yahoo.com,(769) 322-3619,Manager,Operations,Phone Inquiry,37085.0,2021-08-25
CON00000125,OPP00000083,ACC000290,Ruth,Martinez,ruth.martinez920@business.org,(740) 998-2792,VP Marketing,HR,Partner Referral,11975.0,2021-08-25
CON00000126,OPP00000083,ACC000290,Matthew,Rodriguez,matthew.rodriguez591@corp.net,(782) 229-6106,Director,Marketing,Partner Referral,1134.0,2021-08-25
CON00000127,OPP00000084,ACC000663,Anthony,Martinez,anthony.martinez261@gmail.com,(854) 903-6088,Analyst,Operations,Phone Inquiry,37440.0,2021-10-06
CON00000128,OPP00000085,ACC000619,David,White,david.white330@business.org,(973) 391-7009,Coordinator,IT,Partner Referral,,2021-09-04
CON00000129,OPP00000085,ACC000619,Andrew,Rodriguez,andrew.rodriguez752@company.com,(675) 595-5696,Analyst,HR,Other,1821.0,2021-09-04
CON00000130,OPP00000085,ACC000619,Richard,Wilson,richard.wilson775@company.com,(710) 836-2217,Analyst,IT,Purchased List,35012.0,2021-09-04
CON00000131,OPP00000086,ACC000211,Ruth,Williams,ruth.williams33@corp.net,(302) 536-7431,VP Sales,Finance,Web,21416.0,2021-11-16
CON00000132,OPP00000087,ACC000261,Sarah,Harris,sarah.harris38@gmail.com,(367) 334-5372,VP Marketing,Marketing,Phone Inquiry,4580.0,2021-10-27
CON00000133,OPP00000088,ACC000197,Paul,Jackson,paul.jackson332@gmail.com,(212) 227-1680,Director,Marketing,Web,21406.0,2021-10-25
CON00000134,OPP00000089,ACC000788,Thomas,Martinez,thomas.martinez363@hotmail.com,(905) 933-7744,Director,Sales,Partner Referral,23141.0,2021-11-26
CON00000135,OPP00000090,ACC000183,Jessica,Hernandez,jessica.hernandez617@business.org,(614) 442-7875,Coordinator,IT,Phone Inquiry,5864.0,2021-11-04
CON00000136,OPP00000091,ACC000270,Susan,Moore,susan.moore490@company.com,(778) 771-3090,Coordinator,Finance,Other,45130.0,2021-11-21
CON00000137,OPP00000092,ACC000271,Mark,Taylor,mark.taylor207@yahoo.com,(355) 836-5064,CFO,IT,Partner Referral,44876.0,2021-08-29
CON00000138,OPP00000093,ACC000432,Jessica,Lopez,jessica.lopez356@yahoo.com,(312) 936-5167,Specialist,Operations,Web,8921.0,2021-08-21
CON00000139,OPP00000094,ACC000689,Donna,Clark,donna.clark442@yahoo.com,(752) 854-4340,CEO,Executive,Phone Inquiry,22915.0,2021-11-10
CON00000140,OPP00000095,ACC000182,Ruth,Jones,ruth.jones819@yahoo.com,(589) 538-7211,CTO,HR,Partner Referral,,2021-09-04
CON00000141,OPP00000096,ACC000193,Matthew,Clark,matthew.clark871@corp.net,(358) 858-4796,CTO,HR,Web,16248.0,2021-11-24
CON00000142,OPP00000097,ACC000842,Elizabeth,Gonzalez,elizabeth.gonzalez209@corp.net,(304) 423-2452,Specialist,Executive,Other,,2021-12-02
CON00000143,OPP00000098,ACC000674,Mary,Martinez,mary.martinez872@company.com,(957) 927-2333,Analyst,Executive,Phone Inquiry,19667.0,2021-10-01
CON00000144,OPP00000099,ACC000115,Elizabeth,Johnson,elizabeth.johnson611@corp.net,(564) 394-2178,VP Marketing,Executive,Web,43833.0,2021-10-10
CON00000145,OPP00000100,ACC000008,Ruth,Brown,ruth.brown611@company.com,(961) 631-8806,CTO,Marketing,Other,16645.0,2021-09-16
CON00000146,OPP00000101,ACC000956,Linda,Harris,linda.harris725@hotmail.com,(995) 968-9886,CFO,IT,Phone Inquiry,8489.0,2021-08-28
CON00000147,OPP00000102,ACC000119,James,Perez,james.perez771@corp.net,(981) 756-5384,VP Sales,IT,Other,47254.0,2021-10-06
CON00000148,OPP00000102,ACC000119,Michael,Moore,michael.moore747@hotmail.com,(226) 801-3273,Manager,Executive,Partner Referral,48307.0,2021-10-06
CON00000149,OPP00000102,ACC000119,Christopher,Thomas,christopher.thomas807@yahoo.com,(305) 274-3359,CEO,Marketing,Other,32430.0,2021-10-06
CON00000150,OPP00000103,ACC000281,Karen,Jones,karen.jones718@gmail.com,(713) 810-4576,CEO,Marketing,Web,,2021-09-01
CON00000151,OPP00000103,ACC000281,Nancy,Clark,nancy.clark375@business.org,(894) 667-1330,CFO,Executive,Phone Inquiry,4821.0,2021-09-01
CON00000152,OPP00000103,ACC000281,Paul,Ramirez,paul.ramirez166@yahoo.com,(662) 596-1941,Coordinator,Sales,Other,42245.0,2021-09-01
CON00000153,OPP00000104,ACC000480,Joseph,Perez,joseph.perez498@gmail.com,(739) 207-9793,CEO,HR,Web,,2021-11-17
CON00000154,OPP00000105,ACC000972,Lisa,Jones,lisa.jones76@hotmail.com,(971) 770-6472,Manager,Sales,Purchased List,29149.0,2021-11-08
CON00000155,OPP00000106,ACC000356,John,White,john.white406@hotmail.com,(812) 769-2830,CTO,IT,Purchased List,48417.0,2021-07-31
CON00000156,OPP00000106,ACC000356,William,Ramirez,william.ramirez13@corp.net,(853) 508-7256,CFO,Marketing,Partner Referral,,2021-07-31
CON00000157,OPP00000107,ACC000493,Barbara,Miller,barbara.miller335@gmail.com,(650) 510-8935,Coordinator,Marketing,Web,,2021-09-03
CON00000158,OPP00000108,ACC000965,Jennifer,Harris,jennifer.harris510@yahoo.com,(554) 232-4602,Analyst,Operations,Purchased List,19943.0,2021-11-04
CON00000159,OPP00000108,ACC000965,Richard,Moore,richard.moore355@company.com,(621) 315-5741,Manager,Executive,Web,,2021-11-04
CON00000160,OPP00000108,ACC000965,Andrew,Taylor,andrew.taylor549@gmail.com,(904) 207-8338,Specialist,Marketing,Other,,2021-11-04
CON00000161,OPP00000109,ACC000816,Mary,Jackson,mary.jackson41@business.org,(225) 802-3447,Manager,Finance,Partner Referral,7302.0,2021-11-06
CON00000162,OPP00000109,ACC000816,Steven,Lee,steven.lee715@business.org,(856) 566-8362,VP Marketing,Executive,Partner Referral,37017.0,2021-11-06
CON00000163,OPP00000110,ACC000794,Elizabeth,Williams,elizabeth.williams446@company.com,(768) 495-6581,Coordinator,IT,Partner Referral,24703.0,2021-12-14
CON00000164,OPP00000110,ACC000794,John,Williams,john.williams320@yahoo.com,(314) 204-6519,VP Sales,Finance,Web,23266.0,2021-12-14
CON00000165,OPP00000111,ACC000591,Sharon,Miller,sharon.miller413@hotmail.com,(714) 900-4458,Manager,Operations,Purchased List,5326.0,2021-09-28
CON00000166,OPP00000112,ACC000503,Karen,Gonzalez,karen.gonzalez295@business.org,(445) 267-8650,Specialist,Operations,Phone Inquiry,25438.0,2021-09-13
CON00000167,OPP00000113,ACC000823,Mark,Miller,mark.miller241@company.com,(655) 376-7091,Specialist,Operations,Phone Inquiry,17711.0,2021-09-01
CON00000168,OPP00000114,ACC000818,Helen,Lee,helen.lee770@gmail.com,(201) 411-3792,VP Sales,Sales,Other,18310.0,2021-09-06
CON00000169,OPP00000114,ACC000818,Susan,Lee,susan.lee277@gmail.com,(653) 828-1426,CTO,Finance,Purchased List,42159.0,2021-09-06
CON00000170,OPP00000115,ACC000064,Ruth,Gonzalez,ruth.gonzalez590@hotmail.com,(724) 976-2104,Specialist,Finance,Other,,2021-07-19
CON00000171,OPP00000115,ACC000064,Joseph,Martinez,joseph.martinez715@hotmail.com,(223) 299-9759,Analyst,Operations,Purchased List,425.0,2021-07-19
CON00000172,OPP00000116,ACC000414,Jessica,Wilson,jessica.wilson440@hotmail.com,(529) 650-5986,Coordinator,IT,Partner Referral,,2021-12-02
CON00000173,OPP00000117,ACC000270,Donna,Harris,donna.harris998@company.com,(753) 779-9486,Specialist,Marketing,Phone Inquiry,41323.0,2021-08-11
CON00000174,OPP00000117,ACC000270,Sarah,Perez,sarah.perez938@corp.net,(950) 990-5117,Specialist,HR,Web,9033.0,2021-08-11
CON00000175,OPP00000118,ACC000115,Michelle,Lewis,michelle.lewis855@business.org,(218) 967-9239,Manager,Marketing,Phone Inquiry,,2021-08-09
CON00000176,OPP00000119,ACC000908,David,White,david.white587@hotmail.com,(231) 917-2495,VP Marketing,HR,Purchased List,22459.0,2021-09-22
CON00000177,OPP00000120,ACC000581,Donna,Harris,donna.harris615@yahoo.com,(723) 500-4223,CEO,Sales,Purchased List,11630.0,2021-07-28
CON00000178,OPP00000121,ACC000245,David,Taylor,david.taylor558@company.com,(651) 439-5225,Manager,IT,Web,34023.0,2021-09-01
CON00000179,OPP00000122,ACC000327,Carol,Gonzalez,carol.gonzalez119@company.com,(869) 939-6798,CEO,Operations,Phone Inquiry,,2021-08-24
CON00000180,OPP00000123,ACC000012,Sandra,Lewis,sandra.lewis655@corp.net,(322) 432-3515,Manager,Operations,Phone Inquiry,2057.0,2021-11-20
CON00000181,OPP00000124,ACC000545,Donna,Lee,donna.lee636@business.org,(435) 964-9529,Director,Sales,Other,23199.0,2021-09-14
CON00000182,OPP00000125,ACC000453,Patricia,Sanchez,patricia.sanchez446@yahoo.com,(926) 831-9299,CFO,Finance,Web,18172.0,2021-12-14
